1,对话前沿,,上海交通大学,中国叙事学;理论拓展;本土化;跨界;,"2017年是中国叙事学研究蓬勃发展的一年。无论是前沿理论和方法的延伸和创新,还是中国特色叙事理论和素材的挖掘,都产生了不少意义非凡的成果。本文旨在对2017年中国叙事学研究状况作一概览。文章首先总体概述了2017年中国的叙事学研究情况,随后从西方理论拓展、本土叙事学开发、跨界叙事研究三个方面进一步详述了中国叙事学在这一年的发展特征。总体来讲,虽然2017年中国叙事学研究在与西方理论接轨的当代叙事学研究和中国传统叙事学研究方面都颇有进展,但仍有很多亟待开发与补充的空间。鉴于此,本文建议相关学者和研究机构加强学科建设,促进学术交流,并在研究中注重理论兼容性和本土素材的采用。",回归本土——2017年中国叙事学研究述论,万晓蒙;李亚飞,当代外语研究,I04,119-125,7
12,新时代语境下翻译人才培养模式再探究:问题与出路,任文,北京外国语大学,新时代语境;翻译人才培养模式;变化;问题;出路;,"过去十年,语言服务业的强势崛起、翻译技术的突飞猛进,以及""文化走出去""、""一带一路""等国家战略的实施,都给新时代语境下翻译实践领域带来了诸多变化,也使翻译教育面临前所未见的巨大挑战。然而,迄今翻译教育机构却尚未做出及时调整与应对,本文首先阐述当下翻译实践领域出现的五大变化,进而分析翻译教育面对这些变化时存在的五大问题;在此基础上,文章提出目前中国数量众多,但质量堪忧的BTI/MTI项目应该进行分流,并给出应对上述变化、解决现存问题的建议和对策,旨在为新时代语境下翻译人才培养模式的重构、翻译教育机构的可持续发展提供新的思路。",当代外语研究,2018-11-28,期刊,H319.3,92-98,7
13,写作教师身份视角下的二语写作,滕延江,鲁东大学,二语写作;教师身份;写作研究;写作教师身份;,"长期以来,二语写作领域较多关注学习者的研究,而对承担写作教学任务的写作教师的研究则相对少见。实际上,写作教师的教学理念、写作观、成长经历直接影响着他们的写作教学实践。近年来兴起的身份研究为了解写作教师的个体成长经历与职业身份塑成提供了新的研究视角。文章以文献分析方法为主,系统梳理写作教师身份与二语写作之间的关系,从写作教师的身份特征入手,探讨写作教师职业身份建构,写作教师写作实践,写作教师身份研究方法等层面内容。结果显示:二语写作教师存在:(1)身份定位认识不清;(2)""重语言教学、轻写作教学"",""重技能修改、轻内容文体讲解"";(3)""重‘教’、轻‘写’""等问题。结论与启示:二语写作教师身份直接影响着他们的教学实践。同时,文章从研究主题(人工智能)、研究方法(叙事研究)和研究对象(学生主体)层面展望了二语写作教师身份研究领域的新课题,希冀对二语写作教学提供多维思考与启示。",当代外语研究,2018-11-28,期刊,H319.3,99-105,7
14,大学英语沉浸式教学与习得性无助:问题与对策,李霄垅;张冰清,河海大学,习得性无助;沉浸式教学;大学英语教学改革;心理特征;教育措施;,"习得性无助是英语学习中造成学生学习困难的一种常见的心理障碍,而在以英语作为教学语言进行授课的沉浸式英语教学模式下,习得性无助感更是常见。当学生产生习得性无助感时,会导致认知、情绪、动机上的障碍,对学生未来的发展造成危害,对高校人才培养目标的实现也是一种严峻挑战,因此值得认真关注和研究。本文分析当今国内高校大学英语授课普遍采用的沉浸式英语教学模式及其导致的习得性无助心理特征。通过探讨其成因,提出针对这一教学模式下习得性无助的学生的教育措施。文章认为,只要增强对大学英语沉浸式教学引发学生习得性无助机制的认识,有针对性地推进大学英语沉浸式教学改革,消除和减少引发学生习得性无助的因素,就能有效地减少甚至避免学生习得性无助的发生,就能使沉浸式教学模式在大学英语教学中充分发挥积极作用,使大学生在健康的心理状态下综合发展各自学科专业能力与英语语言应用能力。",当代外语研究,2018-11-28,期刊,H319.3,106-111,6
15,“花园路径”叙事效应的读者反应——以阿瑟·米勒的剧本为例,方颖,扬州大学,“花园路径”叙事;读者反应;图式修正;认知加工;,"本研究旨在探讨二语学习者阅读戏剧文本时对""花园路径""叙事策略的反应及其认知加工特点。两组受试共56名受试参加了一项阅读实验。采用E-prime 2.0收集数据,记录反应时和准确率,使用Adobe Audition CC记录其选择的理据,使用SPSS 25.0分析受试两组在两个阅读场景测试中的正确率和反应时间。结果:(1)该叙事策略在高、低英语水平组受试者身上可产生相似的误导效应,原因在于读者过分依赖其先存的相关认知图式,未能有效识别偏离常规的文本结构所隐含的信息。(2)低水平者被误导的人数较多。高水平者从""花园路径""迷途折返的比例高于低水平者。他们阅读耗时较低水平者长是因为遇到疑惑时能仔细对信息进行再加工,修正先前的认知。(3)有三位高水平者未受该叙事策略误导,原因在于他们对剧本对话和舞台指令的仔细研读,并能在戏剧场景切换中,发现矛盾,去伪存真,即时更新自己原有的认知图式。在现代主义戏剧教学中,应强化学生文本细读的意识,使其学会从遣词、造句等文体特征去把握文本潜在的连贯,构建其识别诸如""花园路径""等叙事策略的认知机制,更好领悟戏剧深层的社会文化内涵。",当代外语研究,2018-11-28,期刊,H319.3,112-118,7
16,Contemporary,Foreign,O,O,"<正>Recanati教授是国际语言哲学界公认的领军人物,法国国家科学研究中心研究所主任,欧洲分析哲学学会的共同创始人和前任主席,美国人文和科学学院外籍院士。他的研究方向为语言哲学和心智哲学,发表出版了诸多论文、专著。其中,国内出版的译著有四部:《字面意义伦》(刘龙根胡开宝译)、《真值条件语用学》(刘龙根王晓飞译)、《心理档案》(刘龙根伍思静译)和",Languages,Studies,congratulates,K835.65,127,1
18,《源氏物语》在中国的传播和研究,黄建香,上海交通大学,源氏物语;中国;教育;研究;,"日本名著《源氏物语》不仅在日本经久不衰,在全球各国也受到广泛关注,了解其在中国的接受程度有助于客观评价其对我国学界和教育界的影响力。本文以我国几所主要城市中学语文教材和几所知名大学日语专业的课程设置以及与外国文学有关的主要期刊《日语学习与研究》《外国文学评论》《中国比较文学》《外语界》等为数据统计和调研对象,通过数据分析掌握迄今为止的受容情况,为今后该作品在我国的传播和研究前景提供参考。",当代外语研究,2018-09-28,期刊,H36;I313.074,43-49,7
19,时代呼唤人文学刊与学人勇于破立,,O,O,"<正>全球化与中华民族复兴是当今时代中国的大语境,""一带一路""、""文化走出去""等倡议诠释并服务于这个语境,可谓""文变染乎世情,兴废系乎时序""(《文心雕龙·时序》)。习近平也强调""坚持潜心问道和关注社会相统一""。在这个大语境下,人文学刊与学人想要有所作为,必须迎拒并举,破立创新。破有三,破唯西是尊、破旨无所归、破精致利己;立也有三,立本、立道、立说。自鸦片战争以来,""唯西是尊""似乎一直是中国不少期刊杂志和学人的治学心态与文化姿态。",当代外语研究,2018-09-28,期刊,I206,2,1
20,日本高校多外语教育传统、现状及对我国的启示,艾菁;郑咏滟,复旦大学,高等教育;外语教育;多语制;,"日本高等教育在明治时代便奠定了""一外英语、二外必修""的外语教育课程模式。外语教育在日本社会近代化、现代化、国际化进程中起到了重要作用。本文爬梳了明治维新以来日本高校多语教育的传统和一百多年来经历的数次改革,剖析当下日本高校的多语教育课程实施特色,辅以日本著名高校的多语教育实践案例,以期对我国高校推动多语教育提供启示。",当代外语研究,2018-09-28,期刊,H09,1-6+15+108,8
21,高等教育国际化背景下哈萨克斯坦高校多语教育探析,曾婷,复旦大学,哈萨克斯坦;高等院校;三语政策;多语教育;,"在政治经济全球化背景下,哈萨克斯坦总统纳扎尔巴耶夫提出""三语政策""的构想,即哈萨克语是国语,俄语是族际交际语,英语是顺利融入全球经济一体化的语言。哈语、俄语和英语在哈萨克斯坦高校的发展,构成哈萨克斯坦高等教育的独特语言图景。本文结合哈萨克斯坦高校多语教育发展的现状和特点,分析哈萨克斯坦高校推行多语教育所面临的问题,同时对我国高校多语言教育规划提出建议。",当代外语研究,2018-09-28,期刊,H09,7-15+108,10
22,标准阿拉伯语危机现象与分析——兼谈对汉语国际传播的启示,廖静,复旦大学,阿拉伯国家;标准阿拉伯语危机;汉语国际传播;,"随着文化全球化的逐步深入和扩大,受殖民历史、持续战乱、互联网冲击和缺乏统一管理机构的制约,当代阿拉伯国家标准阿拉伯语面临来自方言和外来语的强烈冲击,由此呈现出多语并存、土语盛行的特点,同时也带来阿拉伯民族认同危机和新旧之争的改革危机。对此,阿拉伯有识之士建议在政治上为标准阿拉伯语的重新活跃提供政策和平台,在教育上为提高青少年标准阿拉伯语水平保驾护航,同时他们还在思想上为解决标准阿拉伯语危机建言献策,提出在基础教育阶段增加标准阿拉伯语课时量等16条对策。通过对标准阿拉伯语危机现象的分析,本文对促进汉语的国际传播提出了三点建议:一是适应阿拉伯伊斯兰文化,融入阿拉伯本土语境;二是促进汉语在阿拉伯地区国际学术交流领域的传播;三是发展以多媒体为载体的汉语在线教育。",当代外语研究,2018-09-28,期刊,H37;H195,16-22+108,8
23,西班牙语国家的汉语教学——现状与政策,陈豪,复旦大学,汉语国际教学;西班牙语国家;语言政策;汉语桥;,"根据2017年10月13日举行的""全国高校西班牙语专业教学研讨会""的数据,中国大陆开设西班牙语本科专业的院校共有82所。在国内西班牙语教学持续高温的情况下,西班牙语国家的汉语教学也随着国际""汉语热""的大潮不断升温。大部分西班牙语国家汉语教学的飞速发展是以中国汉办孔子学院的支持为前提,再结合当地著名大学及汉语教学培训机构铺展开来的。我们将以一个鸟瞰的视角来介绍西班牙语国家的汉语教学推广现状,主要通过西班牙语国家汉语教学的历史背景,中国和西班牙语国家汉语教学政策,教学背后的经济因素简析,教学资源等方面来分析西班牙语国家汉语教学情况,并总结其中存在的不足,展望未来汉语国际教学在西班牙语国家的发展前景。",当代外语研究,2018-09-28,期刊,H195,23-29,7
24,外语教育的主体间性演进,覃黎洋;高宣扬,上海交通大学,外语教育;主体性;主体间性;,"建构于主体性框架内的外语教育实践,始终以个体主体为中心,凸显着控制或改造的目的,因而具有局限性,难以实现语言教育的交际、理解等本真目标。主体间性扬弃并超越个体主体性,为外语教育理论提供了方法论原则,主体间性视域下的外语教育是一种教育者与学习者的交往实践,同时也是共同构建学习共同体的过程。因此对外语教育行为的研究应该超越主体性,以教育材料、教学设计和教学评估为实践路径,彰显主动性、交互性、平等性和发展性,朝着主体间性的维度不断演进。",当代外语研究,2018-09-28,期刊,H09,30-36+109,8
25,语料库语言学在变化中的坚守,甄凤超,上海交通大学,语料库语言学;学科;方法论;外语教学;,"现代语料库语言学经过30多年的发展,学科队伍快速增长;同时,由于各种学术思潮的不断介入、相互激荡,语料库语言学处于不断变化之中。但是,变中蕴含不变,语料库语言学作为一门学科,在变化中应当有所坚守。笔者从三个方面探讨了语料库语言学的学科基石,并不揣浅陋,对学界的一些不同声音做出回应,进一步明确立场和态度,以期对相关研究者有所启发。",当代外语研究,2018-09-28,期刊,H030,73-80+89+109,10
26,外交幽默语的修辞原理与话语功能,赵玉倩;杨明星,郑州大学,外交幽默语;框架转移理论;合作原则;修辞原理;话语功能;,"外交幽默语是国际关系和外交实践中存在的一种特殊的语言现象、话语方式和交际行为。在外交语境中,国家领导人常以幽默风趣的话语风格与外方交往,不仅能够有效传达外交意图,增强外交政策的宣传效果,还能加强两国关系,提升领导人对外话语的亲和力和感召力。深入研究外交幽默语对构建中国特色大国外交话语体系、提升中国话语权具有重要意义。本文拟以外交学的有关原理、认知语言学中的""框架转移理论""以及语用学中""合作原则""等跨学科的视野,对外交幽默语的修辞路径和话语功能展开深入探讨。",当代外语研究,2018-09-28,期刊,H030,81-87,7
27,把握翻译新趋势,,中国外文局,O,"<正>我们生活在一个瞬息万变的世界,需要关注新趋势,站时代在潮头。翻译行业里有四个变化是典型的时代反映。第一个变化是从过去的翻译世界变成既要继续翻译世界,又要加强翻译中国。历史上的翻译名家几乎都从事过外译中,如果能把某种或某几种外国文学翻译成中文,很可能就是巨大的成就,如果再写出一篇或者多篇高端学术文章,那就是了不起的学术成就。今年是改革开放40周年,翻译界完全可以自豪地说,强大",抓住翻译新机遇,黄友义,当代外语研究,H059,88-89,2
29,面向英语教师的《中国英语能力等级量表》应用可行性调查——问题与对策,冯莉;严明,黑龙江大学,中国英语能力等级量表;可行性;调查;问题;对策;,"《中国英语能力等级量表》已经完成第一阶段研发工作,即将进入应用阶段。本文认为,不但要研究如何应用,更应首先研究应用主体对量表的认知、态度、需求、信念与知识基础方面的状况。本文以问卷与访谈法进行了小规模深度质性调查研究,报告并分析了所得数据信息,发现了关于量表应用可行性的关键问题,并提供了相应对策。",当代外语研究,2018-09-28,期刊,H310.42,50-56,7
30,《中国英语能力等级量表》背景下大学英语教学与测评,王华,上海交通大学,《中国英语能力等级量表》;大学英语;教学;测评;,"《中国英语能力等级量表》的研究目前主要是在构建理念和方法等方面的探索,量表的正式发布必然会对大学英语教育产生巨大影响。大学生已具备一定英语基础,如何提高大学生英语水平,使其更适合国际学术交流和合作的需求,一直是高等教育有挑战又亟须解决的问题。本文首先总结了大学英语教育现存的问题,然后从教学和测评两个角度分析《中国英语能力等级量表》对大学英语教育带来的影响和变化,包括课程设置、教材开发、测评标准统一及与量表的对接等。",当代外语研究,2018-09-28,期刊,H319.3,57-61+72,6
31,《中国英语能力等级量表》的写作能力构念界定,邹绍艳;潘鸣威,青岛农业大学广东外语外贸大学,写作能力构念;《中国英语能力等级量表》写作量表;社会认知模式;交际语言能力理论;,"合理界定写作能力构念是制定《中国英语能力等级量表》写作量表的基础和前提。本文首先回溯了社会认知模式视域下的写作认知过程相关理论以及交际语言能力视域下的写作能力理论,并分别讨论了两种视域下的写作能力观对于界定CSE写作能力构念的启示和局限性。在此基础上,本文确定了CSE写作能力构念的操作性定义,并提出了设置CSE写作量表描述参数的原则。总之,本研究的意义在于其突破了传统的语言能力量表一般从单一的视角(如交际语言能力视角)描述量表构念的局限性,为CSE写作量表构建了一个更加科学、全面的理论框架,有助于量表的使用者正确解读量表背后的描述理念,并促进量表在日后的合理使用。",当代外语研究,2018-09-28,期刊,H310.4,62-72+109,12
32,探究电影字幕翻译中的互文性策略:以《一代宗师》为例,武建国;唐文欣,华南理工大学广东省新丰县第一中学,互文性;电影字幕翻译;多视角模式;顺应论;《一代宗师》;,"随着中国经济实力的提升,中国电影不断向外推广,但是目前电影字幕汉译英翻译的质量和水平参差不齐,对外宣传效果不够理想。鉴于此,本文以《一代宗师》的字幕翻译为例,通过整合Bhatia(2010)的专业环境下话语实现的分析模式并结合Verschueren(1999)的语言顺应论,提出了适用于本研究的多视角分析模式。基于这一模式,本文首先归纳出《一代宗师》字幕翻译中互文性的表现形式,然后从实践资源、模态资源和社会认知资源出发探讨了其形成机制,最后阐释了译者使用互文策略的动机。",当代外语研究,2018-09-28,期刊,H315.9,101-107,7
33,Journal,of,O,O,"<正>ISSN 2542-3835|E-ISSN 2542-3843 Journal of Second Language Studies (JSLS) is an international refereed journal that is dedicated to promoting scholarly exchanges, advancing theoretical knowledge, and exploring pedagogical implications in second language acquisition and teaching. The journal particularly welcomes interdisciplinary research dealing with theoretical",Second,Language,Studies,+,112,1
34,小说翻译的言象意还原度探析——以葛浩文《青衣》和《红高粱家族》的英译为例,徐黎;刘华文,南京农业大学上海交通大学,言象意;汉译英;还原度;,"言、象、意是中国古代语言哲学的核心范畴,它们之间的互动关系代表了中国传统的语言观念,有助于人们理解语言的表述功能。无论是单语表达还是跨语言表达即翻译,言、象、意三者之间的关系都要接受定位。在文学翻译中,译文就是经过译者对言、象、意这三者的关系进行再度还原的结果。通过对葛浩文所译毕飞宇的小说《青衣》和莫言的小说《红高粱家族》英译本的考察,可以发现文学翻译中言、象、意的还原模式。其中有一度还原,即原文中的这三个元素在译文中都获得了忠实的再现;其次就是二度还原,即这三个元素中有两个获得了忠实还原,另外一个元素则发生了变化;再次就是三度还原,即言、象、意中有两个元素发生了变化,只忠实地还原了原文的意义。",当代外语研究,2018-07-28,期刊,H315.9;I046,94-99+109,7
35,如何破解珍笼?中国文学走出去的第三种思考,王光林,上海外国语大学,O,"<正>金庸的小说《天龙八部》里有一个细节,""聋哑老人""苏星河布了一个""珍珑""棋局,段延庆前来,试图破解,但是未能成功,更被棋局迷幻心境,险得自杀,幸得少林弟子虚竹误打误撞救了一命,最后在段延庆""传音入密""的指导下,虚竹破解了""珍珑""。这局棋本纠缠于得失胜败之中,而段延庆和苏星河二人又纠缠于围棋的珍笼之中,以至无可破解,虚竹这一手既不着意于生死,更不着意于胜败,反而勘破了生死,得到了解脱。这",当代外语研究,2018-07-28,期刊,H059;I046,12-14,3
36,处境、问题与外国文学研究中的对话意识,王立新,南开大学,O,"<正>从20世纪初至今,中国外国文学学术研究的历程走过了跌宕起伏、多姿多彩的一个多世纪。近年来一系列对外国文学研究学术史的回顾性成果问世,充分展示了我国学术界在这百多年中取得的成就。百年来的学术史从最初在西学东渐和在""东洋""学术学习潮流中对域外文学和文学批评的逐渐接受,到研究范式的嬗变,直至发展为蔚为大观的现代中国外国文学学术洪流,既与中国现代社会的变革、文化思潮的赓续密切相关,更与现代学术和教育体制的建立",当代外语研究,2018-07-28,期刊,I106,15-17,3
37,外国文学研究呼唤有我之境,朱振武,上海师范大学,O,"<正>我国的外国文学经典研究自改革开放以来众声喧哗,渐入佳境,取得了令人瞩目的成就,但也存在低端、重复、照搬、跟风或对国外特别是西方的研究机械模仿等诸多弊端,出现了从文本到文本(浅层阅读的结果,浅化、窄化)、从理论到文本、从文本到理论(低估作者,高抬理论)、单纯比较以及从资料到资料(不读文本,只看资料,其实是伪研究)等简单化、模式化和泛西化倾向,缺少自主意识,缺少批评自觉,进入了""无我之境"",导致话语严重缺失,严重僵化和",当代外语研究,2018-07-28,期刊,I106,17-22,6
38,何为英语文学专业?,阮炜,湖南师范大学,O,"<正>在我国英语学人乃至一般人文学者人心目中,爱德华·吉本无疑是个历史学家,但是,对于西方国家英语学人乃至一般人文学者和普通读者来说,他的《罗马帝国衰亡史》不仅是影响巨大的史学经典,也是文学精品,事实上常常被当作文学范本来使用。还有一个情况很值得注意,1953年度诺贝尔文学奖颁给了丘吉尔,但是他并没有写过我们所理解的文学作品。瑞典文学院表彰他,并不是因为他写了所谓的小说、诗歌或戏剧,而是因为他写了《二战回忆录》。因",当代外语研究,2018-07-28,期刊,I106,22-24,3
