1,第十九届新福州人歌手大赛,,O,O,"<正>由福州市文化广电新闻出版局、福州广播电视台主办的新福州人歌手大赛,原名""福州市外来工作者歌手大赛"",自2000年起已连续成功举办19届。活动旨在搭建心灵与艺术的桥梁,用歌声表达心声,引导人们唱出心中的中国梦以及对福州的热爱与期盼。新福州人歌手大赛曾荣获文化部""全国农民工文化服务示范项目""、第十届中国艺术节项目类""群星奖"",是福州市三大群众文化品牌活动之一。为适应人民群众日益提高的精神文化需求,促进公共",唱响新时代,,筑梦新福州,J692,113,1
12,浅议国产电视动画精品创作策略,张娟,成都大学影视与动画学院,O,"<正>国产电视动画制作完成总分钟数自2010年突破22万分钟后,中国正式步入动画大国之列。然而在看似高歌猛进的态势之下,却无法回避每年大批制作质量粗糙、艺术价值低劣、社会效益缺失,甚至""垃圾""动画充斥其中的尴尬,社会效益与经济价值""双优""的精品力作依然稀缺。尤其在""动画电影票房持续走高""和""新媒体视频网站发展迅猛""的形势下,一些制作机构在多次突围未遂的局面中逐渐焦躁、彷徨,甚至迷失,加快国产动画电视",当代电视,2018-12-01,期刊,J954,18-19,2
13,新世纪以来中国台湾偶像剧发展初探,张帆,厦门理工学院,O,"<正>21世纪以来,以卫星电视、开放频道、制作公司的大量出现为标志,中国台湾电视行业呈现出更加开放的态势。而在这一过程中,外来电视文化对台湾电视产业造成了很大冲击,也使得观众对于台湾电视节目的关注大大缩减。而随着""年轻一族""的逐渐成熟并展现出了强大的消费能力,台湾地区电视从业人员开始通过对外来电视节目进行模仿与翻拍来吸引年轻观众的注意,从而间接地为偶像剧这一电视剧类型的制作和播出提供了契机。",当代电视,2018-12-01,期刊,J905,22-23,2
14,书法题材纪录片中的意境营造,范宇光,河北大学艺术学院,O,"<正>意境是中国美学的重要范畴,最早是由""意象""演化而来,中国书法在千年发展历程中,通过线条、结构、章法和墨法表现出了极具中国美学特质的意境之美。纪录片《千年书法》和《中国书法五千年》,以深邃的文化内涵、唯美的具象画面、淡雅的音乐声响、饱含深情的旁白解说,再现了中国书法的文化魅力,通过虚实相生、情景交融、音画结合等表现方法,营造了书法美学的至美意境。一、虚实相生:画面意境虚实相生是《千年书法》和《中国书法五千年》两部",当代电视,2018-12-01,期刊,J952;J292.1,69-70,2
15,聆听心灵与历史的对话,,浙江农林大学风景园林学院,O,"<正>2018年1月1日,中央电视台纪录频道(CCTV-9)晚间黄金档开始播出百集国产纪录片《如果国宝会说话》,纪录片既没有采用如《长平之战》般震撼人心的画面作为片首,也没有采用如《河西走廊》般意境幽远的音乐展开,而是伴随着""叮,你有一条来自国宝的留言,请注意查收""的清脆提示音,将""如果国宝会说话""标题几个大字逐渐显现出来,简单却又不失精致。节目以其独特的文化底蕴、纪录气质迅速走红,并引发强烈的社会反响,连",感悟守成与创新的传承——纪录片《如果国宝会说话》创作特色解读,梁伟,当代电视,J952,85-86,2
16,从根茎理论看居伊·德波的景观电影,李静,中国传媒大学,O,"<正>20世纪的欧洲,资本主义的扩张,致使文化、艺术领域也充斥着商品性、工业性。随着图像时代的到来,视觉文化在艺术生产中的地位不断上升。电影作为一种视觉艺术,视觉化效果被不断加强,景观已经成为电影的一种特性。法兰克福学派的阿多诺曾针对电影这种艺术形式进行过一系列的批判。在他看来,电影是一种会致使人迷幻的麻醉剂。可以说,电影成为一种实现文化工业过滤的工具。居伊·德波将其称之为景观社会。在他看来,景观",当代电视,2018-12-01,期刊,J905,95-96,2
17,刍议香港和台湾地区喜剧电影之异同,于丽金;易旭丹,中国传媒大学南广学院,O,"<正>近年来,香港和台湾的喜剧电影因其各自的特色对整个华语喜剧电影的发展有着重要而深刻的影响。但从创作团队的喜剧观念、喜剧风格的表现、喜剧元素的运用等方面研判,两地的喜剧电影具有颇多的不同之处。因此,笔者尝试对香港和台湾喜剧电影之异同进行分析,以期为华语喜剧电影未来的发展做理论铺垫。一、港台喜剧电影起步的历史背景不同香港的喜剧电影历史比较悠久。早在1909年由美国人布拉斯基在香港投资拍摄第一部影片《偷烧鸭》时,喜",当代电视,2018-12-01,期刊,J905,97-98,2
18,传统民族文化的电影化叙事策略探析,杨雪团,广西艺术学院人文学院,O,"<正>在一个文化成为衡量国家软实力最重要标准的时代,传承和传播文化成为展示一个国家综合实力的显著目标。电影作为一种集光、影、声、色于一体的大众传播媒介,可以很好地成为民族文化的传播渠道;而电影艺术也需要丰富多彩的文化资源的滋养。文化与电影的结合是这个时代的势在必行。学者陈阳在《全球化时代电影民族文化符号的审美转换》一文中指出,民族文化如何更具表现力地进入到影像作品中,并成为作品的想象力源头,在民间日常文化生活中产生出更加强烈的互文效",当代电视,2018-12-01,期刊,J905,99-101,3
19,中国内地与香港合拍电影思考,汤旭梅,北京联合大学艺术学院,O,"<正>在改革开放40周年之际,中国电影合拍片立项数量和过审数量增至新高,其中,中国内地与香港合拍片数量占较大比重,促进了中国电影技术和电影叙事手法的进步,繁荣了电影资本市场,深化了中国内地与香港在电影产业方面的合作。一、中国内地与香港合拍历程概览1. 20世纪60年代合作初探到改革开放后""北上""活跃早在20世纪50、60年代,中国内地的北影、上影和长影曾与香港的""长城""、""凤凰""、""新联""等电影公司进行",当代电视,2018-12-01,期刊,J943,102-103,2
20,《红海行动》的思想内涵探析,梁慧亭,山西传媒学院,O,"<正>一部电影所传达的价值观是其能否触动观众的重要因素,特别是针对当下观众审美的日益提高,这种价值观的感染力显得尤为重要。《红海行动》就是这样一部电影,它塑造了一批个性鲜明的人物形象,通过超越集体主义,努力实现世界范围的人道主义,获得了观众的广泛认同和高票房。一、电影《红海行动》价值观的世界化格局电影《红海行动》主要表现中国海军蛟龙突击队前往非洲北部伊维亚共和国解救同胞的艰辛过程。这一行",当代电视,2018-12-01,期刊,J905,104-105,2
21,中国视协在京召开电视剧《右玉和她的县委书记们》专家研讨会,阿啸,本刊,O,"<正>10月24日,中国视协主办的电视剧《右玉和她的县委书记们》专家研讨会在中国文联文艺家之家召开。与会专家表示,电视剧《右玉和她的县委书记们》视野宏阔,以独特的历史叙事方式,将新中国成立后,右玉县迎难而上、艰苦奋斗、持之以恒改善生态的奋斗史与共和国的成长史巧妙地融合,成功地塑造了右玉县数任县委书记的群像,充分弘扬了右玉精神。大家一致认为,该剧充分借鉴情景剧的拍摄手法,深入生活汲取创作营养,塑",当代电视,2018-12-01,期刊,J905-2,105,1
22,国产动画电影中的现实主义——以《大护法》与《大世界》为例,张梦雨,中国传媒大学,O,"<正>《大护法》和《大世界》这两部接连上映的极具话题性的国产动画电影,在鲜明的个人风格基础上反映出创作者们对现实生活的感受和思考。这两部国产动画电影中现实主义的出发点是对生活本身的解析和对社会现象的探讨,反映出的是创作者们对多层次现实主题和荒诞黑色美学的探索。一、动画与现实主义莱纳德·马尔丁曾描述动画大师特克斯·艾弗里:""他对复制或模仿现实没有任何兴趣,在他看来,越广,越不真实,越好。""(1)那么,这是否就意味着在动画作品",当代电视,2018-12-01,期刊,J954,108-109,2
23,评电视剧《爱情的边疆》的时代底色与浪漫叙事,赵红玲,中原工学院新闻与传播学院,O,"<正>《爱情的边疆》是编剧高满堂的最新力作,以两位播音员跨越半个世纪的爱情为线索,演绎出一部时代洪流下的平民史诗。对年代特征的匠心还原、对历史节点的精准把握,是该剧成功的重要原因,中国东北、苏联的双时空叙事,横贯在山海间的电波联结起红色年代的乐观情怀与浪漫想象,共同铺就了该剧昂扬的精神底色。笔者将从场景构建、人物情感等角度来分析《爱情的边疆》在不曾被历史割断的个体记忆中的现实意义。一、以匠心营造真实时空",当代电视,2018-12-01,期刊,J905,33-34,2
24,《归去来》:以青春找寻现实主义的远方,张海清,徐州幼儿师范高等专科学校,O,"<正>电视剧《归去来》在北京卫视、东方卫视首播后,点燃了又一轮现实题材的收视热潮,该剧以当代留学生的奋斗生涯为叙事线索,勾勒出全球化视角下国人思想变迁的轨迹,用都市情感剧的唯美包装紧紧裹挟着一个关于成长的思想内核。与同类作品相比,《归去来》胜在其价值观的包容性,以海纳百川的博大襟怀建构起一个横跨东西半球、穿梭于中青两代的叙事时空,为观众奉献了更具人生启示的青春叙事。本文将从该剧所传达的反思入手,来揭示现实题材剧应有的价值担当。",当代电视,2018-12-01,期刊,J905,39-40,2
25,一茶一世界,,武汉大学新闻与传播学院,O,"<正>由江苏卫视、北京天润农影视文化传播有限公司、央视纪录国际传媒有限公司以及北京中投视讯文化传媒股份有限公司联合制作、出品的10集大型人文纪录片《茶界中国》,2017年8月在江苏卫视黄金时段播出。该纪录片由10个摄制组、历时3年跨国拍摄,志在通过近百位茶人的故事,追寻中华茶脉,追求匠心之道。《茶界中国》用细腻的画面深入接触世界各地的茶场,精致地描绘了制茶人的忙碌生活,全面展示了茶界和古老的中国文化。该片是对",一叶一人文——评纪录片《茶界中国》,王飞,当代电视,J952,74-75,2
26,从《舌尖上的中国》看新媒体环境下电视纪录片的发展,林卫军,福州广播电视台,O,"<正>新媒体的崛起,使媒体市场的竞争变得更加激烈,然而在这样的环境中,电视纪录片《舌尖上的中国》(以下简称为《舌尖》)自播出便引起了人们的广泛关注,产生了不同凡响的市场效果,它的成功不仅进一步地增强了央视纪录片频道的品牌影响力,而且也让电视媒体人以及业界人士看到了纪录片未来的发展趋势和市场前景。《舌尖》为什么能异军突起?它与其他电视纪录片有何不同?我们又能从其中获得哪些启示,从而看清当前纪",当代电视,2018-12-01,期刊,J952,76-77,2
27,瓷器背后的中国图像与审美——评纪录片《景德镇》,朱郁闻,南京师范大学,O,"<正>在人类历史长河中,有四大古文明闪耀其间,即古巴比伦、古埃及、古印度和中国。中国文明迈着历久弥新的步伐,一直延续到今天。中国瓷器是中国人民在长期的生产生活实践中,发挥聪明才智结出的文明之花,中国的陶瓷技术和艺术鲜明地体现了中华文化精神。央视推出的4集文化类纪录片《景德镇》由CCTV-9播出于2018年8月,作为最新制作的文化类纪录片,它的出品在业内引发了较大的反响。《景德镇》在有限的时长中,通过中国",当代电视,2018-12-01,期刊,J952,80-81,2
28,"拍一片时光,诉一段衷肠——评《无问西东》",郝静静,山西大学,O,"<正>《无问西东》在上映之初就自带众多话题,也备受业界和学界的广泛关注。它将过去时空与现实存在以诗意的方式呈现和表达,将人性拷问和本心回归糅合到光影交织的跨时空维度,在历史真实、艺术想象和情感共鸣中找到了相对统一的平衡点,实现了生活层面、情感层面、价值层面的""最大公约数""。影片的本意是一部庆祝清华大学百年校庆的定制影片,剧情从上世纪20年代一直推演至今,用恢弘的视角和全景式的历史视野将百年来中国的兴起和自强化为温暖",当代电视,2018-12-01,期刊,J905,106-107,2
29,多元话语中的少数民族形象——基于新中国少数民族题材纪录片的分析,许光,长沙大学影视艺术与文化传播学院,O,"<正>中国是一个多民族国度,在数千年历史演进和变迁中,各民族共同创造了灿烂的历史与文化。少数民族地区的历史事件、风土民俗、宗教信仰、文化遗存、名胜古迹等,既是中华民族共享的""文化图腾"",也是人类文明璀璨夺目的文化瑰宝。少数民族题材纪录片(以下简称""民纪片"")承担着在国内外传播少数民族形象和国家形象的职责,在增进民族了解、加强民族团结和促进国家稳定方面发挥积极作用。由于社会主义制度优越性宣传需",当代电视,2018-12-01,期刊,J952,64-66,3
30,纪录片《传承》第二季中少数民族的文化记忆与意境营造,朱旭辉;王淑贤,天津工业大学,O,"<正>纪录片扮演着文化记录者的角色,利用影像的力量将非物质文化遗产以视觉化的形式呈现出来,使其成为文化记忆的重要文本。纪录片《传承》第二季共记录了35位非遗传承人的故事,其中,分布在黑龙江、贵州、新疆、内蒙古、西藏等地的少数民族非遗传承人共有14位,充分展示了少数民族地区非物质文化遗产所具有的文化底蕴与传承魅力。一、文化记忆的维度从文化传承的角度来说,文化记忆不单是对经典文化的符号化表征,还代表着人们对特定族群文化的集体",当代电视,2018-12-01,期刊,J952,82-83,2
31,人民的法槌——谈电视剧《阳光下的法庭》的法治传播意义,周洁琼,西京学院,O,"<正>电视剧《阳光下的法庭》以全面推进法治建设为背景,紧跟司法改革的时代浪潮,将法庭、法官、法治置于第一视角,通过全局化的宏大叙事,实现了公检法机关与社会热点的联动。该剧在人物塑造上深刻反映了法、理、情的融会贯通,既有证据支撑下环环相扣的司法逻辑,亦有影视加工下丝丝入扣的情感逻辑,使法理诠释与法治情怀相互统一。本文根据法治类型剧的艺术特征,结合该题材的创作内需,全方位地分析《阳光下的法庭》的法治传",当代电视,2018-12-01,期刊,J905,29-30,2
32,电视剧《远方的家》:“家”的新时代诠释,丁磊,本刊,O,"<正>34集电视剧《远方的家》播出后,获得社会好评,引发关于""中国式亲情""的讨论。作为""老漂三部曲""之一的北京篇,《远方的家》紧扣时代脉搏,极富生活气息,从日常生活传递温情,弘扬中华优秀美德,赋予了""家文化""在新时代所具有的特殊含义。《远方的家》讲述了来自四川的""老漂""宋明媚(刘佳饰)在知天命之年为了儿子而背井离乡,来到北京艰苦创业,在和""北京大爷""富伯恒(梁冠华饰)经历了一系列啼笑皆非的误会后,从相识到相知,最终收获美好爱情",当代电视,2018-12-01,期刊,J905,31-32,2
33,《你迟到的许多年》:历史嬗变中的人性本真,吴洋月,湖南师范大学湖南文理学院,O,"<正>年代情感电视剧《你迟到的许多年》讲述了改革开放时期主人公沐建峰历经商海沉浮、人情冷暖,不忘初心的故事。该剧分为事业与爱情两条线,在事业上,沐建峰不畏艰难、屡败屡战,成功创业,充分体现了改革时代弄潮儿的优秀品格;在爱情上,着重叙述了沐建峰与茉莉、赵益勤间的爱情纠葛,体现了社会变动中的悲欢离合。作为纪念改革开放四十周年的献礼剧,《你迟到的许多年》由严歌苓担任编剧,林柯、黄加力执导,是一部诚意之作。",当代电视,2018-12-01,期刊,J905,41-42,2
34,从《延禧攻略》看古装剧美学追求的嬗变,龚正,福建江夏学院设计与创意学院,O,"<正>2018年,大批古装题材电视剧投入市场,为观众提供了多样的选择。其中,《延禧攻略》自暑期播出后,持续引发观众热议,成为2018年影视作品中不可忽视的重要研究文本。该剧与我国长期形成的古装剧叙事风格、人物性格构造等固定模式不同,女主人公魏璎珞在后宫的生存方法与晋升之路在一定程度上颇有现实指导意义,因此被人称为是一部另类的""职场剧""。《延禧攻略》在人物关系上与1998年播出的《还珠格格》、2011年的《甄",当代电视,2018-12-01,期刊,J905,43-44,2
35,“温州模式”的一面镜子——以“温州人”电视系列剧为例,傅守祥;郑露娜,温州大学,O,"<正>文艺是时代前进的号角,最能代表一个时代的风貌,最能引领一个时代的风气。电视剧《温州一家人》《温州两家人》和正在拍摄中的《温州三家人》全面呈现了温州40年走过的不平凡道路,以艺术的方式总结改革开放中的经验,坚定新时代进一步改革开放""永不停步""的勇气,加快实现温州在新时代的再次飞跃。一、书写时代的温州故事当今中国,正处在坚定汇入现代化潮流并站在世界发展前列、为人类文明进步做出重要贡献的伟大时代。",当代电视,2018-12-01,期刊,J905,4-6,3
36,在中国梦语境下的反腐题材电视剧,倪学礼;赵璐浩,中国传媒大学动画与数字艺术学院,O,"<正>党的十八大以来,以习近平同志为核心的党中央从关系党和国家生死存亡的高度,作出打铁还需自身硬的庄严承诺,以猛药去疴、重典治乱的决心勇气,推动全面从严治党向纵深发展,打虎拍蝇雷霆万钧,正风肃纪驰而不息,形成了反腐败斗争压倒性态势。时代需要反腐题材电视剧对此及时做出审美表现。一、反腐题材电视剧回溯反腐题材影视剧最初是以""反腐小说""为创作蓝本而形成新的影视类型。我国反腐题材电视剧大致经历了",当代电视,2018-12-01,期刊,J905,7-8,2
37,近年来仙侠玄幻剧的文化价值思辨,霍美辰;王方兵,东北师范大学传媒科学学院,O,"<正>回顾近几年,《三生三世十里桃花》《择天记》《青云志》《九州·天空城》《醉玲珑》等仙侠玄幻古装剧先后播出,此类以传统神话、寓言传记为缘起,杂糅了言情、武侠、科幻、魔幻、历史等元素的古装剧成为了影视产品市场热衷的电视剧类型。放眼国际影视市场,""虚幻、架空""类古装剧也具有一定市场,如美剧《权利的游戏》《西部世界》,韩剧《扑通扑通love》《夜行书生》《仁显王后的男人》《千年之爱》,日剧《猫侍》《宫本武",当代电视,2018-12-01,期刊,J905,9-10,2
38,“消费经典”要警惕“亵渎经典”,杜鹃,中国传媒大学,O,"<正>在文本研究中,""经典""的概念存在已久。这一概念也是文化研究中非常重要的研究范畴,常常被用来解释和维护艺术性,或者是一种公认的艺术范式。经典之所以可以经得起时间和历史的洗练,正是因为其将思想、审美、形式融为一体,表达着历史的、文化的、人性的深刻内涵。经典的构筑应该说是政治、经济、文化和社会综合作用的结果。一种文化的经典就代表着有关那种文化的某些深刻的理念。因此,在当下中国社会文化中,强调经",当代电视,2018-12-01,期刊,J905,11-12,2
39,《山城棒棒军》的创作追求,杨洁;路建宁,重庆城市管理职业学院重庆重视传媒有限责任公司,O,"<正>作为改革开放四十周年的展播剧目,电视剧《棒棒的幸福生活》2018年10月在重庆卫视一经播出,就受到了广大观众的青睐。1997年,方言电视剧《山城棒棒军》让""棒棒""这一道山城重庆独特的风景在全国家喻户晓,同类题材电视剧《棒棒的幸福生活》通过表现棒棒们生活的变化,让观众感受到了重庆日新月异的发展。一、""棒棒""语义的形象化阐释""嗨、棒棒!""""来啰、来啰""。方言电视剧《山城棒棒军》中的这句精彩对白,曾经真实地回荡在重庆的大街",当代电视,2018-12-01,期刊,J905,25-26,2
40,担当诠释使命,,沈阳音乐学院戏剧影视学院,O,"<正>摄影语言,作为多结构层的艺术符号,以独特的视觉形式传达给观众摄影者所要表达的特性与元素。它与传统的文学、文字相比,能够原汁原味地还原真实的影像实录,打破了文学交流中出现的语言隔阂,能够给观众带来视觉上的冲击。众多艺术元素以多样的形式融入在摄影中,不仅丰富了摄影语言,也给了观众更多想象的空间。本文以宋业明执导、吴京安、丁柳元领衔主演的人物传记剧《初心》为例,详细论述摄影语言在电视剧文本",忠诚书写奉献——电视剧《初心》摄影语言的艺术表达,李江涛,当代电视,J931,27-28,2
41,“朗诵+”:实现古典优雅与时尚清新的融合,金晶,绍兴广播电视台,O,"<正>朗诵是一门用声音表达作品和朗读者思想感情的艺术。近年来,肇始于央视《朗读者》,朗诵类节目以优质的人文内核、时尚的节目形态,激起一股文艺清流,成为一种文化现象。一、诵读:丰富节目内容、独具艺术魅力朗诵以其口耳相传、绘声绘色的艺术特性,展现了它们的音韵美、节奏美和旋律美。朗诵因其大众性、艺术性、创造性,一直受到大众的喜爱,无论是在专场的朗诵晚会,还是在大型文艺晚会上,朗诵常常与音乐、歌唱、",当代电视,2018-12-01,期刊,G222,53,1
42,文化类节目《经典咏流传》创新路径,贾若;刘芳烨,东北师范大学传媒科学学院,O,"<正>《经典咏流传》是中央电视台综合频道和央视创造传媒联合制作推出的大型音乐文化类节目,节目响应落实十九大报告""推动中华优秀传统文化创造性转化、创新性发展""的精神,用""和诗以歌""的形式将传统诗词经典与现代流行相融合,让经典具有新时代属性,让传统迸发出先锋精神,开创文化节目2.0时代。《经典咏流传》意在唤起大众对于经典文化的关注。为了体现节目受众的大众性,嘉宾阵容全面,除了带有流量性的人气明星王俊凯、王力宏等,还涵盖了主持",当代电视,2018-12-01,期刊,G222,56-57,2
43,浅析电视媒体的美育功能与文化职责,饶建华,成都大学中国-东盟艺术学院美术与设计学院,O,"<正>电视媒体传播范围广、速度快、信息量大,在传达时事政策、引导社会舆论、传播知识、提供娱乐等方面起着重要的作用。电视媒体作为传承文化、传递社会正能量和教育人才的综合视听平台,应积极探索传播内容和传播形式的创新。一、以美育人:坚持电视媒体的正确审美导向2018年8月30日,习近平总书记给中央美术学院8位",当代电视,2018-12-01,期刊,G222,23-24,2
44,电视公开课节目《中国正在说》的文化价值,王嵋,重庆工商职业学院,O,"<正>《中国正在说》是东南卫视推出的一档电视公开课节目,它通过TED演讲与观众互动相结合的方式,客观地分析世界形势、讲述中国故事。该节目延续了时政访谈一贯的严肃风格,由张维为、金灿荣、韩毓海等各界专家担任主讲人,对我国的历史发展与社会风貌做出了全面评述,在践行文化强国方针的同时,也不忘以批判的眼光反思当下。其中,脚底板走出的学问、老百姓眼中的问题以及中国形象的真实呈现,可以说是《中国正在说》的几大",当代电视,2018-12-01,期刊,G222,58-59,2
45,《声临其境》:中国原创综艺节目的“声”机盎然,刘洋,北京师范大学珠海分校艺术与传播学院,O,"<正>目前电视媒体行业中,随着亲子、旅游、音乐、婚姻等类型节目的播出,综艺节目同质化的倾向日渐突出。缺乏原创力、缺少发掘力成为了当前众多综艺节目的束缚,可以说,原创精神成为了综艺节目突破生存瓶颈的关键。《声临其境》作为一档全新的原创声音竞技类节目登陆湖南卫视,并在芒果TV、爱奇艺等多家网络媒体同时上线,一时间吸引了大众眼球,受到了广泛好评和热议。一、新颖独特的主题1.题材新颖,文化氛围浓厚",当代电视,2018-12-01,期刊,G222,60-61,2
46,"《一路书香》:创新读书节目形态,延伸文化空间",戈双峰,呼和浩特职业学院,O,"<正>我国电视读书节目起步于上世纪90年代,为丰富大众精神生活发挥了重要作用,也是大众阅读推广的主要形式之一。随着娱乐时代和消费时代的到来,读书类节目的生存空间被迅速挤占,大批节目纷纷停办。对停办节目进行分析会发现,这些节目形式单一,多由主持人或嘉宾单向性地向观众介绍或评论书目,缺乏互动,因此很难适应当今读者的多元收视需求。在这种情况下,一些读书类节目开始突破旧有的窠臼,不断探索新的展现形式。比如",当代电视,2018-12-01,期刊,G222,62-63,2
